session,trial,rat,RL,laggedRL,signalDuration,laggedsignalDuration,response,laggedResponse,hit,miss,cr,fa,incongHit,congHit
1.0,158.0,3.0,0.058,0.056,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,159.0,3.0,0.062,0.058,0.5,25.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,160.0,3.0,0.117,0.062,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,161.0,3.0,0.05,0.117,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,162.0,3.0,0.038,0.05,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,1.0,6.0,0.27,0.038,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,2.0,6.0,0.12100000000000001,0.27,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,3.0,6.0,0.194,0.12100000000000001,0.025,500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,4.0,6.0,0.045000000000000005,0.194,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,5.0,6.0,0.053000000000000005,0.045000000000000005,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,6.0,6.0,0.14800000000000002,0.053000000000000005,0.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,7.0,6.0,0.039,0.14800000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,8.0,6.0,0.04,0.039,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,9.0,6.0,0.255,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,10.0,6.0,0.052000000000000005,0.255,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,11.0,6.0,0.034,0.052000000000000005,0.5,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,12.0,6.0,0.126,0.034,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,13.0,6.0,0.054,0.126,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,14.0,6.0,0.115,0.054,0.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,15.0,6.0,0.061000000000000006,0.115,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,16.0,6.0,0.08800000000000001,0.061000000000000006,0.025,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,17.0,6.0,0.066,0.08800000000000001,0.05,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,18.0,6.0,0.053000000000000005,0.066,0.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,19.0,6.0,0.026000000000000002,0.053000000000000005,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,20.0,6.0,0.042,0.026000000000000002,0.05,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,21.0,6.0,0.07,0.042,0.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,22.0,6.0,0.037000000000000005,0.07,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,23.0,6.0,0.033,0.037000000000000005,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,24.0,6.0,0.038,0.033,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,25.0,6.0,0.092,0.038,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,26.0,6.0,0.036000000000000004,0.092,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,27.0,6.0,0.109,0.036000000000000004,0.025,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,28.0,6.0,0.032,0.109,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
