session,trial,rat,RL,laggedRL,signalDuration,laggedsignalDuration,response,laggedResponse,hit,miss,cr,fa,incongHit,congHit
1.0,127.0,39.0,0.014,0.026000000000000002,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,128.0,39.0,0.026000000000000002,0.014,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,129.0,39.0,0.027,0.026000000000000002,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,130.0,39.0,0.048,0.027,0.025,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,131.0,39.0,0.025,0.048,0.0,0.025,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,132.0,39.0,0.021,0.025,0.05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,133.0,39.0,0.026000000000000002,0.021,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,134.0,39.0,0.063,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,135.0,39.0,0.043000000000000003,0.063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,136.0,39.0,0.021,0.043000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,137.0,39.0,0.02,0.021,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,138.0,39.0,0.081,0.02,0.5,0.05,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,139.0,39.0,0.025,0.081,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,140.0,39.0,0.016,0.025,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,141.0,39.0,0.023,0.016,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,142.0,39.0,0.023,0.023,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,143.0,39.0,0.023,0.023,0.025,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,144.0,39.0,0.029,0.023,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,145.0,39.0,0.026000000000000002,0.029,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,146.0,39.0,0.03,0.026000000000000002,0.0,0.025,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,147.0,39.0,0.024,0.03,0.025,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,148.0,39.0,0.21,0.024,0.0,0.025,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,149.0,39.0,0.034,0.21,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,150.0,39.0,0.017,0.034,0.05,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,151.0,39.0,0.025,0.017,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,152.0,39.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,153.0,39.0,0.024,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,154.0,39.0,0.021,0.024,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,155.0,39.0,0.025,0.021,0.05,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,156.0,39.0,0.023,0.025,0.05,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,157.0,39.0,0.028,0.023,0.025,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,158.0,39.0,0.022,0.028,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,159.0,39.0,0.029,0.022,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,160.0,39.0,0.02,0.029,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,161.0,39.0,0.026000000000000002,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,162.0,39.0,0.026000000000000002,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,163.0,39.0,0.029,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,164.0,39.0,0.095,0.029,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,165.0,39.0,0.025,0.095,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,166.0,39.0,0.02,0.025,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,167.0,39.0,0.025,0.02,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,168.0,39.0,0.028,0.025,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,169.0,39.0,0.016,0.028,0.025,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,170.0,39.0,0.013000000000000001,0.016,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,171.0,39.0,0.025,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,172.0,39.0,0.025,0.025,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,173.0,39.0,0.029,0.025,0.05,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,174.0,39.0,0.03,0.029,0.05,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,175.0,39.0,0.031,0.03,0.025,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,176.0,39.0,0.019,0.031,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,177.0,39.0,0.018000000000000002,0.019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,178.0,39.0,0.027,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,179.0,39.0,0.015,0.027,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,180.0,39.0,0.025,0.015,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
